x,y,frame,year,month,day,hour,radius,max_vort,mean_vort,mean_vort_850,mean_vort_700,mean_vort_500,max_trunc_vort,track_id,mean_u200,mean_u850,mean_skt,mean_land_frac,mcz_tcwv,vortex_depth,over_land,dvo850_dt,acc_land_time,total_land_time,qshear_850,ushear_850,mean_cape,mcz_cape,mean_dthetae_dp_900_750,mean_dthetae_dp_750_500,mean_land_skt,mean_sst,mean_swvl1_grad,mean_swvl2_grad,mean_swvl1,mean_swvl2,olr_90,olr_75,olr_50,qshear_850_background,ushear_850_background,mean_q_850,orography_height,peak_vorticity,reached_peak,mean_prcp_400,mean_prcp_800,max_prcp_400,max_prcp_800,mean_vimfd_400,mean_v200,mean_v500,mean_v850,mean_u500,zonal_speed,merid_speed,mean_prcp_imerg
91,18.25,4477,1979,7,6,12,3.5,31.75819397,5.853138924,5.844694138,5.86158371,5.451192856,3.783272266,7260,-15.4080925,3.011923552,302.0357361,0.09,51.52999496,0.935368933,0,0.085301161,0,12,0.004257386,-15.323173,820.2632645,640.4155059,0.029480618,0.002766218,298.46136,302.4402,3.36E-07,3.17E-07,0.35978013,0.3583889,-251.4953287,-230.5942413,-200.0182762,0.004730213,-9.280998,0.013960149,-0.097304993,4.684137344,0,0.539315307,0.48974158,6.408495702,6.408495702,-5.984226054,0.701260209,-0.464626133,-0.539218605,-2.22223568,-6.588537688,0,
90.25,18.5,4483,1979,7,6,18,3.5,46.48482132,5.804140091,5.58043623,6.027844429,4.68051815,3.822858334,7260,-12.94668674,4.859960556,302.0780334,0.07,52.2254715,0.90598221,0,0.23984766,0,12,0.005452273,-14.15534,1152.063097,596.1533259,0.020193968,0.012582614,298.1003,302.50238,4.94E-07,5.19E-07,0.3412351,0.34325233,-271.6412354,-258.4833277,-215.5421701,0.004712358,-9.270966,0.013823945,2.199924554,4.684137344,0,1.242906752,0.613423253,17.30968279,19.19217737,-24.56544648,0.271435767,-1.821321368,-0.8189165,-5.960459709,-17.54398762,0,
89,18.25,4489,1979,7,7,0,3.75,75.66918945,5.818525314,6.314019203,5.323031902,4.099668026,4.262967587,7260,-15.15071774,4.102758884,302.0597534,0.08,52.49542999,0.54738887,0,0.332286119,0,12,0.003089093,-14.806021,993.9472998,421.4678212,0.022271464,0.012475043,298.37686,302.54648,3.01E-07,3.67E-07,0.33520922,0.3273156,-262.8407497,-242.3329801,-206.2431647,0.004079801,-10.266157,0.014304394,-0.097304993,4.684137344,0,1.419082076,0.529948555,10.92526244,10.92526244,-43.75243856,0.1299638,-0.9117769,-1.377204776,-5.035526752,-10.98089615,0,
89,18.5,4495,1979,7,7,6,3.5,40.8452301,6.783360958,7.197681427,6.369040489,4.448400974,4.487430573,7260,-17.36198425,3.475849628,303.0139771,0.08,55.04427719,0.546880824,0,0.122098684,0,12,0.004534646,-17.194794,921.5047628,795.9504037,0.033319173,0.013704021,306.79373,302.5465,2.18E-07,2.80E-07,0.3284428,0.32319993,-279.4933177,-260.208058,-193.7907444,0.004498593,-10.036616,0.014963406,0.086473371,4.684137344,0,0.898852779,0.523828869,5.22121811,5.22121811,-16.47393766,2.248130322,1.936049819,2.411637306,-4.36894083,-6.578995358,2.3125,
88.25,18.5,4501,1979,7,7,12,3.5,44.19926834,6.682274818,6.622294903,6.74225378,5.271852016,4.507164955,7260,-17.78350258,2.830073357,302.3174744,0.12,56.6254425,0.810496741,0,0.022375107,0,12,0.00636238,-14.704411,1094.505329,1016.561042,0.039290444,0.011370358,301.35208,302.5641,3.83E-07,2.77E-07,0.3311869,0.32195926,-256.3991135,-225.9777794,-181.9991404,0.005091858,-9.8026,0.015229785,-0.189194175,4.684137344,0,0.621227444,0.409399733,5.772642591,22.136296,-6.515917086,2.711773157,1.347720623,1.833642721,-3.730231524,-10.96499226,4.625,
87.75,19,4507,1979,7,7,18,3.5,35.15327454,6.526350021,6.417637825,6.635061741,5.299366474,4.532180786,7260,-16.9832077,0.975175798,301.6052551,0.26,59.58401871,0.853726011,0,-0.130881071,0,12,0.005839186,-16.563885,1051.909983,832.1131752,0.041883242,0.017876785,299.31134,302.5882,3.16E-07,3.00E-07,0.3205686,0.31736135,-271.8114616,-256.185009,-218.4048259,0.004697878,-10.232392,0.015516754,-2.670202086,4.684137344,0,1.484958365,0.721529558,9.521801387,9.521801387,-27.49066033,2.45551157,2.208542347,1.938005328,-6.7778368,-19.67860535,4.625,
86,19,4513,1979,7,8,0,4,42.77132416,4.929663181,5.16143465,4.697890759,4.097573757,4.245402813,7260,-14.76828098,3.110054016,300.3666382,0.46,60.01385117,0.722584809,0,-0.063805103,0,12,0.004306623,-17.712002,823.4724917,617.7749886,0.02724614,0.02193194,298.1703,302.55695,2.84E-07,2.70E-07,0.31260124,0.3043461,-259.9495467,-204.3109382,-148.6913612,0.004089159,-11.481193,0.015796024,-0.556750902,4.684137344,1,1.554474363,0.636689888,16.92447717,16.92447717,-48.70687897,0.099359058,-0.206176713,-0.255843729,-6.624777794,-21.86511706,2.3125,
85.25,19.25,4519,1979,7,8,6,3.75,49.22749329,5.800572395,6.299575806,5.301570415,4.0629282,4.40457058,7260,-15.69447231,3.688759804,303.1142883,0.54,57.87379074,0.542776541,0,-0.168872118,0,12,0.004022437,-20.137041,886.5569167,797.4373674,0.046453803,0.013829662,304.3199,302.56235,3.73E-07,3.50E-07,0.31383365,0.3058592,-263.562361,-234.0846724,-161.6327854,0.004283352,-11.647732,0.015116637,1.740478645,4.684137344,1,1.049408267,0.522362405,16.93222746,16.93222746,-21.26320913,-1.090737343,4.608865738,0.57922262,-5.907755852,-15.28244102,4.625,
84.25,19.5,4525,1979,7,8,12,4,37.98226929,4.867770195,4.581066132,5.154474735,3.955463409,3.907658577,7260,-16.60037422,3.011760235,301.9140015,0.62,59.45964813,0.971513107,1,-0.283953428,6,12,0.005446722,-18.792027,887.4863025,818.7323965,0.049088178,0.017844301,301.96008,302.54755,3.71E-07,3.46E-07,0.31261578,0.30206898,-274.1163885,-241.772608,-161.3922483,0.004822755,-10.463755,0.01553698,472.2130899,4.684137344,1,0.771006422,0.449575024,15.91611572,15.91611572,-11.29942419,-0.178060949,3.132991314,0.809214711,-4.47411871,-15.25900914,4.625,
83.5,19.75,4531,1979,7,8,18,4,33.19887543,4.929545879,5.312852859,4.546237946,3.374817133,3.836663723,7260,-18.22471619,3.054012775,299.492218,0.77,60.00214005,0.543559176,1,-0.070994854,12,12,0.004086669,-21.622156,679.3067931,556.6175898,0.065576991,0.023307171,298.90768,302.52988,3.28E-07,3.34E-07,0.30799273,0.29419768,-277.745591,-272.7410979,-250.1557221,0.004221174,-11.538885,0.015741998,496.6556123,4.684137344,1,0.606225117,0.398880777,6.555421304,6.555421304,-13.04511265,-2.53502512,4.751561165,3.79384613,-4.852270603,-13.05881721,4.625,
